feature,mean_abs_shap
environment_score,5.49729836662463
social_score,2.5537255375334302
marketCap,0.6911042792697663
marketCap_log,0.5705787032776756
governance_score,0.09402211790716393
vol_30d,0.0747246731534655
ret_1m,0.06014731987136066
sector_Communication Services,0.04276698426083048
trailingPE,0.03369923870460355
beta,0.03299225594609964
sector_Consumer Cyclical,0.022747531898592115
sector_Energy,0.014963384303810084
sector_Real Estate,0.010501290260746646
sector_Industrials,0.005839959963219694
sector_Technology,0.0034452126678690747
sector_Basic Materials,0.002783996263171106
sector_Healthcare,0.0017691052698448296
sector_Utilities,0.0015820586639199723
sector_Financial Services,0.0011901644163896299
sector_Consumer Defensive,0.0007093929279938318
sector___UNKNOWN__,0.0
